capsule_id,capsule_path,discipline,risk,detections_total,sweep_denominator,sweep_denominator_lines,claims_registered,unresolved,coverage_pct
capsule:eisca:obstrucao_via_aerea_alta_crupe_epiglotite,capsules/EISCA/obstrucao_via_aerea_alta_crupe_epiglotite.md,EISCA,high,38,13,13,0,13,0.0
capsule:eisca:osteossarcoma,capsules/EISCA/osteossarcoma.md,EISCA,medium,28,8,8,0,8,0.0
capsule:eisca:otite_media_aguda_e_rinossinusite_na_infancia,capsules/EISCA/otite_media_aguda_e_rinossinusite_na_infancia.md,EISCA,high,44,28,25,0,28,0.0
capsule:eisca:parasitoses_intestinais,capsules/EISCA/parasitoses_intestinais.md,EISCA,medium,70,29,22,0,29,0.0
capsule:eisca:pneumonia_adquirida_na_comunidade_na_infancia,capsules/EISCA/pneumonia_adquirida_na_comunidade_na_infancia.md,EISCA,high,98,44,36,0,44,0.0
capsule:eisca:rinofaringite_aguda_resfriado_comum_e_gripe,capsules/EISCA/rinofaringite_aguda_resfriado_comum_e_gripe.md,EISCA,high,73,23,13,0,23,0.0
capsule:eisca:saude_ocular_na_infancia,capsules/EISCA/saude_ocular_na_infancia.md,EISCA,high,50,12,9,0,12,0.0
capsule:eisca:semiologia_e_classificacao_do_recem_nascido,capsules/EISCA/semiologia_e_classificacao_do_recem_nascido.md,EISCA,medium,71,29,23,0,29,0.0
capsule:eisca:semiologia_pediatrica,capsules/EISCA/semiologia_pediatrica.md,EISCA,high,11,1,1,1,1,0.0
capsule:eisca:sepse_e_meningite_neonatal,capsules/EISCA/sepse_e_meningite_neonatal.md,EISCA,high,97,48,31,0,48,0.0
capsule:eisca:tumor_de_wilms,capsules/EISCA/tumor_de_wilms.md,EISCA,medium,52,19,15,0,19,0.0
capsule:eisca:tumores_do_sistema_nervoso_central_na_infancia,capsules/EISCA/tumores_do_sistema_nervoso_central_na_infancia.md,EISCA,high,90,29,26,0,29,0.0
capsule:eism:abstinencia_alcoolica_delirium_tremens_wernicke,capsules/EISM/abstinencia_alcoolica_delirium_tremens_wernicke.md,EISM,high,66,13,12,3,10,23.08
capsule:eism:ansioliticos_e_hipnoticos,capsules/EISM/ansioliticos_e_hipnoticos.md,EISM,high,32,13,11,0,13,0.0
capsule:eism:antidepressivos,capsules/EISM/antidepressivos.md,EISM,high,58,18,14,0,18,0.0
capsule:eism:antipsicoticos_sep_e_snm,capsules/EISM/antipsicoticos_sep_e_snm.md,EISM,high,67,18,15,3,16,11.11
capsule:eism:delirium,capsules/EISM/delirium.md,EISM,high,29,10,8,0,10,0.0
capsule:eism:depressao,capsules/EISM/depressao.md,EISM,high,49,20,19,0,20,0.0
capsule:eism:eletroconvulsoterapia_ect,capsules/EISM/eletroconvulsoterapia_ect.md,EISM,medium,27,1,1,0,1,0.0
capsule:eism:emergencias_psiquiatricas_e_agitacao_psicomotora,capsules/EISM/emergencias_psiquiatricas_e_agitacao_psicomotora.md,EISM,high,60,22,15,0,22,0.0
